"","lacgene","corgene","cor","pvalue"
"276","DHH","P4HA3",0.502476554638655,4.90488575824179e-30
"277","DHH","TAGLN",0.638996937994364,8.83059552725754e-53
"278","DHH","JPH2",0.594213525796205,4.16440402878678e-44
"279","DHH","GPM6A",0.5588817278845,3.63674059456548e-38
"280","DHH","AKAP6",0.528541928626034,1.32782259020083e-33
"281","DHH","GFRA1",0.568748600294114,9.40604837766876e-40
"282","DHH","HSPB8",0.590107348571908,2.22760858041395e-43
"283","DHH","LGI4",0.684047067037884,4.30163192463967e-63
"284","DHH","ABI3BP",0.703940151240056,2.88709146285141e-68
"285","DHH","PGM5",0.645831990897175,3.11323773488068e-54
"286","DHH","KCNB1",0.61490870452565,6.08614829684532e-48
"287","DHH","FNDC5",0.522162793454238,1.0590877688436e-32
"288","DHH","CADM3",0.622451349877446,2.06372234601038e-49
"289","DHH","LRRTM1",0.500018261303878,1.02680002868363e-29
"290","DHH","ACTG2",0.548151709651755,1.68917124091949e-36
"291","DHH","C1QTNF7",0.647834120044996,1.14970460758892e-54
"292","DHH","LMOD1",0.640024995740481,5.36825796699277e-53
"293","DHH","TCF23",0.548917161713153,1.29046236813577e-36
"294","DHH","CLEC3B",0.571347887303314,3.5179679437629e-40
"295","DHH","GRIK3",0.553014336713781,3.01800210829376e-37
"296","DHH","HAND2",0.610021277688803,5.1956188202415e-47
"297","DHH","PI16",0.624261045129398,9.03722959189092e-50
"298","DHH","BMPER",0.568948003654957,8.72520119388838e-40
"299","DHH","FNDC1",0.557684457862731,5.61985374185354e-38
"300","DHH","MAMDC2",0.536416319439646,9.62104001481516e-35
"301","DHH","VEGFD",0.523583319379731,6.69529604449007e-33
"302","DHH","FAT3",0.581681702793535,6.45736735506628e-42
"303","DHH","PDZRN4",0.603550861035685,8.39263398856708e-46
"304","DHH","CMTM5",0.549793969992526,9.47187011211153e-37
"305","DHH","TMEM100",0.619796489442171,6.86303145398556e-49
"306","DHH","GALR1",0.513874732099313,1.47372051137147e-31
"307","DHH","RBPMS2",0.578843893466383,1.9634334345503e-41
"308","DHH","PLIN4",0.517385919557619,4.87324481043709e-32
"309","DHH","IGFBP6",0.563926003173394,5.70016646537227e-39
"310","DHH","SCARA5",0.522920733295923,8.29436910778446e-33
"311","DHH","FAM107A",0.68287039746873,8.44677054426996e-63
"312","DHH","TNXB",0.682955104425199,8.04711215922551e-63
"313","DHH","COL3A1",0.51999483775029,2.12364134810862e-32
"314","DHH","COL3A1.1",0.51999483775029,2.12364134810862e-32
"315","DHH","GFRA2",0.552831107846421,3.22200456106586e-37
"316","DHH","NPTX1",0.502636086240143,4.67430151868372e-30
"317","DHH","ANGPTL7",0.6482252789227,9.45546415149141e-55
"318","DHH","NEGR1",0.654660633881803,3.63663617177446e-56
"319","DHH","RCAN2",0.700017703747971,3.26858286840536e-67
"320","DHH","MYOZ2",0.543424774277554,8.77238925493286e-36
"321","DHH","ADCY5",0.62297015459512,1.62960890868045e-49
